13.40,	15.49,	17.86,	20.19,	22.50
13.39,	15.53,	17.78,	20.05,	22.48
13.43,	15.58,	17.87,	20.11,	22.51
13.42,	15.57,	18.01,	20.21,	22.54

14.47,	16.54,	18.85,	21.27,	23.65
14.49,	16.56,	18.87,	21.31,	23.56
14.57,	16.61,	18.85,	21.15,	23.65
14.59,	16.57,	18.75,	21.25,	23.63
